Scan Point,Ti Mass Fraction,Cu Mass Fraction,Ti Atomic Percent
0,1.043,0.9637,58.9624701833361
1,0.7913,0.9637,52.154536019330855
2,0.01283,0.9637,1.7367131522122932
3,0.01163,0.9637,1.5768383594108644
4,0.01361,0.9637,1.8403535389930923
5,0.01136,0.9637,1.5407948100327267
6,0.01276,0.9637,1.7274013891447417
7,0.01471,0.9637,1.9861420513962422
8,0.009967,0.9637,1.3544165565272004
9,0.009648,0.9637,1.3116361972567543
10,0.0258,0.9637,3.432120679936654
11,0.01078,0.9637,1.4632785917341102
12,0.01155,0.9637,1.5661615406767828
13,0.01164,0.9637,1.5781727988995489
14,0.009993,0.9637,1.3579017223424144
15,0.01104,0.9637,1.4980423297069656
16,0.01181,0.9637,1.6008527351540243
17,0.01136,0.9637,1.5407948100327267
18,0.01004,0.9637,1.3642012048704049
19,0.02305,0.9637,3.0775523751618348
20,0.007766,0.9637,1.0584883380345025
21,0.006722,0.9637,0.9174990393891463
22,0.01553,0.9637,2.0945393355833755
23,0.01677,0.9637,2.2580025219875437
24,0.01707,0.9637,2.2974680968429815
25,0.01517,0.9637,2.046979822789989
26,0.01267,0.9637,1.7154265288100188
27,0.01474,0.9637,1.9901120356234074
28,0.01431,0.9637,1.9331781795636518
29,0.01077,0.9637,1.4619410348495578
30,0.01119,0.9637,1.5180871767341075
31,0.01499,0.9637,2.023182734953673
32,0.01282,0.9637,1.7353830083874575
33,0.01083,0.9637,1.4699658315134043
34,0.01005,0.9637,1.3655414164963147
35,0.01101,0.9637,1.4940323810868064
36,0.01913,0.9637,2.5676066437616276
37,0.01088,0.9637,1.4766521636891055
38,0.0095,0.9637,1.2917756526432609
39,0.01486,0.9637,2.005988757023163
40,0.6907,0.9637,48.75683762697021
