Scan Point,Ti Mass Fraction,V Mass Fraction,V Atomic Percent
0,1.0,0.2957,21.743598345760258
1,1.0,0.2823,20.96483544751364
2,1.0,0.288,21.29798656822266
3,1.0,0.2753,20.55182355874739
4,1.0,0.3003,22.007408359229192
5,1.0,0.3022,22.1158550308172
6,1.0,0.2951,21.709056712518045
7,1.0,0.277,20.65252279947158
8,1.0,0.9123,46.15640307548343
9,1.0,0.1336,11.153404817373941
10,1.0,0.3219,23.22275411947746
11,1.0,0.3141,22.78827329417296
12,1.0,0.3089,22.495877156303045
13,1.0,0.2988,21.921579003839263
14,1.0,0.2959,21.755105451338018
15,1.0,0.2842,21.0761987688327
16,1.0,0.2793,20.78835733337623
17,1.0,0.2931,21.59369738550504
18,1.0,0.2903,21.43162201945559
19,1.0,13.13,92.50230753988482
20,1.0,0.6593,38.25265493371838
21,1.0,0.3028,22.150038719589514
22,1.0,0.2885,21.32707640971413
23,1.0,0.2953,21.720573977844637
24,1.0,0.2954,21.726331339885437
25,1.0,0.2846,21.099603701068254
26,1.0,0.2898,21.40260945373215
27,1.0,0.2859,21.175573953949367
28,1.0,0.2916,21.506954546693095
29,1.0,0.2794,20.79425263369527
30,1.0,0.06234,5.533559298745751
31,1.0,0.09636,8.302598527522255
32,1.0,0.2881,21.30380625737996
33,1.0,0.284,21.06449109483126
34,1.0,0.2831,21.011763548951418
35,1.0,0.2914,21.49537433122009
36,1.0,0.2805,20.8590430688173
37,1.0,0.2763,20.611089337332945
38,1.0,0.2792,20.782461155415
39,1.0,0.2801,20.835495178398826
40,1.0,0.2763,20.611089337332945
41,1.0,0.01717,1.5877411958250753
42,1.0,1.721,61.789996238180045
43,1.0,0.3637,25.47024894047295
44,1.0,0.3644,25.506766752863097
45,1.0,0.3717,25.885473671994426
46,1.0,0.358,25.171551511224134
47,1.0,0.373,25.952511084484065
48,1.0,0.3593,25.239886049689797
49,1.0,0.3585,25.19784880454769
50,1.0,0.3221,23.233830366026723
51,1.0,0.2727,20.39731761118216
52,1.0,0.06393,5.666696657640123
53,1.0,0.3068,22.377165376450268
54,1.0,0.3491,24.700346453643885
55,1.0,0.3559,25.060900669383035
56,1.0,0.3812,26.372583311065306
57,1.0,0.3505,24.774861543150344
58,1.0,0.3446,24.459830624473415
59,1.0,0.339,24.15836772585556
60,1.0,0.3342,23.898049296155254
61,1.0,0.3367,24.03385440479328
62,1.0,0.2645,19.906068946957014
63,1.0,0.02234,2.055991250146541
64,1.0,15.31,93.50051991885488
65,1.0,0.3345,23.914371541214834
66,1.0,0.3488,24.68435972426959
67,1.0,0.3521,24.859841264873282
68,1.0,0.3572,25.12943736096396
69,1.0,0.3536,24.939335564919805
70,1.0,0.3603,25.29236621011003
71,1.0,0.3355,23.968728494145832
72,1.0,0.3294,23.635937680245426
73,1.0,0.2716,20.331768654816347
74,1.0,0.04557,4.106106403893323
75,1.0,9.295,89.7266551563607
76,1.0,0.03284,2.9933993000916823
77,1.0,0.05911,5.261937393079036
78,1.0,0.1087,9.267307252681334
79,1.0,1.378,56.42359956601868
80,1.0,0.8825,45.33218475332747
81,1.0,0.5392,33.62768996385214
82,1.0,0.4948,31.737469301760257
83,1.0,0.1645,13.38769252236396
84,1.0,0.1162,9.843782895263468
85,1.0,3.707,77.69467919756138
